ms, dB
0.000000, 11.127582
0.000417, -1.087794
0.000833, -4.428837
0.001250, -3.611886
0.001667, -0.053849
0.002083, 1.703681
0.002500, -4.110435
0.002917, -2.605612
0.003333, -2.273773
0.003750, 0.012345
0.004167, -0.353202
0.004583, -3.112504
0.005000, -2.538199
0.005417, -2.428929
0.005833, 0.857766
0.006250, -2.155462
0.006667, -6.779899
0.007083, 0.313450
0.007500, -1.214312
0.007917, -0.202606
0.008333, -0.765806
0.008750, -1.860597
0.009167, 0.174107
0.009583, -1.642044
0.010000, -2.305536
0.010417, -7.519788
0.010833, -2.615624
0.011250, -1.512367
0.011667, -1.992875
0.012083, -5.431509
0.012500, -4.032237
0.012917, -1.075225
0.013333, -1.164276
0.013750, -4.043134
0.014167, -6.351311
0.014583, -1.635839
0.015000, -0.227190
0.015417, -1.570384
0.015833, -9.449985
0.016250, -5.905315
0.016667, -28.028973
0.017083, -1.958913
0.017500, -2.281252
0.017917, -5.528777
0.018333, -2.279994
0.018750, -5.596256
0.019167, -4.271504
0.019583, -3.785061
0.020000, -3.775422
0.020417, -7.080438
0.020833, -5.234915
0.021250, -2.080226
0.021667, -1.713518
0.022083, -6.117078
0.022500, -4.990360
0.022917, -4.833154
0.023333, -2.209395
0.023750, -14.287749
0.024167, -3.844223
0.024583, -0.869062
0.025000, -2.744994
0.025417, -3.665581
0.025833, -13.954350
0.026250, -4.200987
0.026667, -1.714904
0.027083, -6.505150
0.027500, -3.920967
0.027917, -4.815009
0.028333, -5.719393
0.028750, -3.309045
0.029167, -1.340920
0.029583, -10.165759
0.030000, -5.775403
0.030417, -3.747915
0.030833, -4.688713
0.031250, -10.741631
0.031667, -8.937403
0.032083, -1.960928
0.032500, -4.142087
0.032917, -9.664225
0.033333, -10.984829
0.033750, -6.344361
0.034167, -5.363973
0.034583, -4.060560
0.035000, -7.003357
0.035417, -10.747934
0.035833, -1.701477
0.036250, -1.077604
0.036667, -6.825754
0.037083, -19.889376
0.037500, -13.121883
0.037917, -5.459807
0.038333, -3.735062
0.038750, -6.214140
0.039167, -17.592075
0.039583, -24.632825
0.040000, -6.099543
0.040417, -3.285744
0.040833, -4.548484
0.041250, -8.325190
0.041667, -6.183630
0.042083, -1.422684
0.042500, -14.563336
0.042917, -13.891073
0.043333, -4.632234
0.043750, -4.717010
0.044167, -3.494524
0.044583, -6.935832
0.045000, -17.196548
0.045417, -3.962012
0.045833, -4.480465
0.046250, -5.322564
0.046667, -12.202249
0.047083, -4.686760
0.047500, -3.920458
0.047917, -2.554323
0.048333, -9.781562
0.048750, -8.970327
0.049167, -2.548173
0.049583, -5.450755
0.050000, -7.252234
0.050417, -5.458510
0.050833, -5.187404
0.051250, -1.633198
0.051667, -14.617375
0.052083, -10.460262
0.052500, -21.319241
0.052917, -6.711405
0.053333, -3.879500
0.053750, -5.248602
0.054167, -14.675926
0.054583, -12.060902
0.055000, -3.310756
0.055417, -2.147423
0.055833, -14.260105
0.056250, -7.368206
0.056667, -14.171349
0.057083, -2.786064
0.057500, -2.436394
0.057917, -11.009289
0.058333, -6.412469
0.058750, -5.776948
0.059167, -2.558388
0.059583, -18.870743
0.060000, -21.297346
0.060417, -13.660141
0.060833, -7.786682
0.061250, -4.040483
0.061667, -7.835793
0.062083, -10.440521
0.062500, -15.727996
0.062917, -7.037849
0.063333, -7.782143
0.063750, -13.615647
0.064167, -3.208391
0.064583, -3.782512
0.065000, -6.388963
0.065417, -6.613916
0.065833, -12.006010
0.066250, -6.564069
0.066667, -11.139319
0.067083, -9.116488
0.067500, -14.338351
0.067917, -16.297665
0.068333, -4.812134
0.068750, -9.021019
0.069167, -12.574323
0.069583, -10.207283
0.070000, -12.117353
0.070417, -8.698725
0.070833, -2.416003
0.071250, -8.866357
0.071667, -7.332856
0.072083, -5.647751
0.072500, -3.334640
0.072917, -5.135533
0.073333, -8.219053
0.073750, -13.199225
0.074167, -3.614607
0.074583, -11.120387
0.075000, -12.748383
0.075417, -21.565204
0.075833, -13.492587
0.076250, -5.674818
0.076667, -5.247096
0.077083, -10.541664
0.077500, -14.389451
0.077917, -8.394098
0.078333, -3.954611
0.078750, -8.633657
0.079167, -20.804342
0.079583, -11.709309
0.080000, -3.664674
0.080417, -7.500399
0.080833, -8.760630
0.081250, -6.051623
0.081667, -15.534983
0.082083, -4.990943
0.082500, -11.772250
0.082917, -11.383145
0.083333, -4.663253
0.083750, -5.497219
0.084167, -9.470880
0.084583, -12.581543
0.085000, -7.690664
0.085417, -2.741371
0.085833, -2.363948
0.086250, -5.607124
0.086667, -11.472017
0.087083, -15.150015
0.087500, -4.969572
0.087917, -7.988729
0.088333, -7.884098
0.088750, -10.576559
0.089167, -9.590087
0.089583, -3.136404
0.090000, -14.969259
0.090417, -8.416871
0.090833, -8.898159
0.091250, -5.692520
0.091667, -2.618601
0.092083, -6.417286
0.092500, -6.906429
0.092917, -8.789081
0.093333, -1.708369
0.093750, -4.498862
0.094167, -4.695353
0.094583, -2.628808
0.095000, -6.591323
0.095417, -1.678471
0.095833, -11.656156
